colour	x	y	showSelectedlegendcolour	PANEL	fill
#FB61D7	34.5066829268293	5.828	Sub-Saharan Africa (all income levels)	1	#FB61D7
#53B400	52.7795853658537	6.474	Latin America & Caribbean (all income levels)	1	#53B400
#F8766D	66.9997073170732	5.162	East Asia & Pacific (all income levels)	1	#F8766D
#53B400	46.2103170731707	7.458	Latin America & Caribbean (all income levels)	1	#53B400
#C49A00	65.9691219512195	2.332	Europe & Central Asia (all income levels)	1	#C49A00
#53B400	42.0826829268293	6.324	Latin America & Caribbean (all income levels)	1	#53B400
#C49A00	68.0031707317073	2.019	Europe & Central Asia (all income levels)	1	#C49A00
#F8766D	45.0732682926829	5.666	East Asia & Pacific (all income levels)	1	#F8766D
#C49A00	69.691756097561	3.76	Europe & Central Asia (all income levels)	1	#C49A00
#A58AFF	42.4455853658537	5.87	South Asia	1	#A58AFF
#00C094	48.8539268292683	6.252	Middle East & North Africa (all income levels)	1	#00C094
#00C094	44.5774390243903	6.944	Middle East & North Africa (all income levels)	1	#00C094
#C49A00	73.4267073170732	4.294	Europe & Central Asia (all income levels)	1	#C49A00
#C49A00	69.1239024390244	2.406	Europe & Central Asia (all income levels)	1	#C49A00
#C49A00	70.6397804878049	2.421	Europe & Central Asia (all income levels)	1	#C49A00
#53B400	64.1918292682927	5.419	Latin America & Caribbean (all income levels)	1	#53B400
#00C094	53.8540487804878	7.687	Middle East & North Africa (all income levels)	1	#00C094
#F8766D	67.6660975609756	2.001	East Asia & Pacific (all income levels)	1	#F8766D
#FB61D7	46.3624146341463	7.946	Sub-Saharan Africa (all income levels)	1	#FB61D7
#C49A00	56.1123414634146	5.166	Europe & Central Asia (all income levels)	1	#C49A00
#F8766D	42.4041463414634	6.3	East Asia & Pacific (all income levels)	1	#F8766D
#FB61D7	43.4419512195122	6.792	Sub-Saharan Africa (all income levels)	1	#FB61D7
#F8766D	55.2211707317073	3.643	East Asia & Pacific (all income levels)	1	#F8766D
#F8766D	52.9987317073171	6.155	East Asia & Pacific (all income levels)	1	#F8766D
#00C094	61.4006829268293	7.251	Middle East & North Africa (all income levels)	1	#00C094
#C49A00	58.3035609756098	4.563	Europe & Central Asia (all income levels)	1	#C49A00
#F8766D	43.9777317073171	5.961	East Asia & Pacific (all income levels)	1	#F8766D
#00C094	60.9993414634146	5.731	Middle East & North Africa (all income levels)	1	#00C094
#53B400	57.6486829268293	6.967	Latin America & Caribbean (all income levels)	1	#53B400
#A58AFF	57.8603414634146	5.541	South Asia	1	#A58AFF
#FB61D7	37.6482682926829	6.406	Sub-Saharan Africa (all income levels)	1	#FB61D7
#FB61D7	46.5009512195122	5.839	Sub-Saharan Africa (all income levels)	1	#FB61D7
#C49A00	69.8473170731707	2.56	Europe & Central Asia (all income levels)	1	#C49A00
#C49A00	68.3215609756098	2.28	Europe & Central Asia (all income levels)	1	#C49A00
#C49A00	69.7868292682927	1.94	Europe & Central Asia (all income levels)	1	#C49A00
#00C094	46.6787317073171	7.057	Middle East & North Africa (all income levels)	1	#00C094
#00C094	46.6150731707317	7.17	Middle East & North Africa (all income levels)	1	#00C094
#C49A00	61.8030243902439	3.328	Europe & Central Asia (all income levels)	1	#C49A00
#C49A00	62.4055365853659	2.634	Europe & Central Asia (all income levels)	1	#C49A00
#FB61D7	39.8808780487805	7.3	Sub-Saharan Africa (all income levels)	1	#FB61D7
#C49A00	60.7211951219512	4.128	Europe & Central Asia (all income levels)	1	#C49A00
#FB61D7	30.3108048780488	6.703	Sub-Saharan Africa (all income levels)	1	#FB61D7
#F8766D	42.7107804878049	6.05	East Asia & Pacific (all income levels)	1	#F8766D
#F8766D	48.6804390243902	6.953	East Asia & Pacific (all income levels)	1	#F8766D
#F8766D	65.0418292682927	4.945	East Asia & Pacific (all income levels)	1	#F8766D
#FB61D7	42.2319024390244	6.775	Sub-Saharan Africa (all income levels)	1	#FB61D7
#00C094	67.6017804878049	3.62	Middle East & North Africa (all income levels)	1	#00C094
#FB61D7	58.7538780487805	6.167	Sub-Saharan Africa (all income levels)	1	#FB61D7
#A58AFF	37.4779512195122	7.021	South Asia	1	#A58AFF
#FB61D7	37.7736341463415	6.909	Sub-Saharan Africa (all income levels)	1	#FB61D7
#53B400	57.0351219512195	6.783	Latin America & Caribbean (all income levels)	1	#53B400
#F8766D	59.4188292682927	6.309	East Asia & Pacific (all income levels)	1	#F8766D
#FB61D7	35.0037073170732	6.6	Sub-Saharan Africa (all income levels)	1	#FB61D7
#FB61D7	46.8803902439024	6.149	Sub-Saharan Africa (all income levels)	1	#FB61D7
#F8766D	58.6390243902439	6.278	East Asia & Pacific (all income levels)	1	#F8766D
#FB61D7	37.897243902439	7.039	Sub-Saharan Africa (all income levels)	1	#FB61D7
#FB61D7	38.4964878048781	6.354	Sub-Saharan Africa (all income levels)	1	#FB61D7
#53B400	46.9109512195122	7.336	Latin America & Caribbean (all income levels)	1	#53B400
#C49A00	73.3926829268293	3.122	Europe & Central Asia (all income levels)	1	#C49A00
#C49A00	73.549756097561	2.846	Europe & Central Asia (all income levels)	1	#C49A00
#A58AFF	38.4940487804878	6.103	South Asia	1	#A58AFF
#F8766D	71.2365853658537	4.129	East Asia & Pacific (all income levels)	1	#F8766D
#00C094	42.2736097560976	7.247	Middle East & North Africa (all income levels)	1	#00C094
#53B400	60.7899756097561	5.943	Latin America & Caribbean (all income levels)	1	#53B400
#53B400	47.643243902439	6.876	Latin America & Caribbean (all income levels)	1	#53B400
#F8766D	56.3299024390244	6.508	East Asia & Pacific (all income levels)	1	#F8766D
#F8766D	38.462243902439	6.275	East Asia & Pacific (all income levels)	1	#F8766D
#F8766D	57.81	7.148	East Asia & Pacific (all income levels)	1	#F8766D
#A58AFF	46.642756097561	6.6	South Asia	1	#A58AFF
#C49A00	67.6804878048781	2.98	Europe & Central Asia (all income levels)	1	#C49A00
#53B400	68.9309024390244	4.657	Latin America & Caribbean (all income levels)	1	#53B400
#C49A00	63.0365853658537	3.006	Europe & Central Asia (all income levels)	1	#C49A00
#53B400	63.6422195121951	6.5	Latin America & Caribbean (all income levels)	1	#53B400
#00C094	59.7569024390244	6.971	Middle East & North Africa (all income levels)	1	#00C094
#C49A00	65.7178780487805	2.34	Europe & Central Asia (all income levels)	1	#C49A00
#C49A00	67.4099268292683	2.52	Europe & Central Asia (all income levels)	1	#C49A00
#FB61D7	42.2249024390244	8.165	Sub-Saharan Africa (all income levels)	1	#FB61D7
#00C094	44.8748780487805	7.216	Middle East & North Africa (all income levels)	1	#00C094
#F8766D	49.3817073170732	6.388	East Asia & Pacific (all income levels)	1	#F8766D
#FB61D7	41.5859268292683	6.625	Sub-Saharan Africa (all income levels)	1	#FB61D7
#C49A00	73.0056097560976	2.174	Europe & Central Asia (all income levels)	1	#C49A00
#F8766D	65.6598292682927	5.454	East Asia & Pacific (all income levels)	1	#F8766D
#C49A00	68.9780487804878	2.323	Europe & Central Asia (all income levels)	1	#C49A00
#C49A00	69.9837073170732	3.04	Europe & Central Asia (all income levels)	1	#C49A00
#FB61D7	31.4612195121951	6.034	Sub-Saharan Africa (all income levels)	1	#FB61D7
#FB61D7	38.933	6.635	Sub-Saharan Africa (all income levels)	1	#FB61D7
#FB61D7	35.9853414634146	7.25	Sub-Saharan Africa (all income levels)	1	#FB61D7
#53B400	59.6706341463415	6.608	Latin America & Caribbean (all income levels)	1	#53B400
#FB61D7	50.4869756097561	6.242	Sub-Saharan Africa (all income levels)	1	#FB61D7
#53B400	51.2914878048781	6.728	Latin America & Caribbean (all income levels)	1	#53B400
#00C094	52.7317317073171	7.467	Middle East & North Africa (all income levels)	1	#00C094
#FB61D7	44.2387804878049	6.717	Sub-Saharan Africa (all income levels)	1	#FB61D7
#FB61D7	40.2428292682927	6.25	Sub-Saharan Africa (all income levels)	1	#FB61D7
#FB61D7	39.5561219512195	6.521	Sub-Saharan Africa (all income levels)	1	#FB61D7
#F8766D	55.2991951219512	6.147	East Asia & Pacific (all income levels)	1	#F8766D
#C49A00	56.1694146341463	6.235	Europe & Central Asia (all income levels)	1	#C49A00
#F8766D	33.7271219512195	6.373	East Asia & Pacific (all income levels)	1	#F8766D
#C49A00	54.4438048780488	6.415	Europe & Central Asia (all income levels)	1	#C49A00
#00C094	48.3358048780488	7.182	Middle East & North Africa (all income levels)	1	#00C094
#F8766D	61.3645365853659	7.363	East Asia & Pacific (all income levels)	1	#F8766D
#C49A00	48.2708536585366	6.116	Europe & Central Asia (all income levels)	1	#C49A00
#53B400	63.2135365853659	5.237	Latin America & Caribbean (all income levels)	1	#53B400
#FB61D7	43.6538780487805	6.806	Sub-Saharan Africa (all income levels)	1	#FB61D7
#C49A00	69.8958048780488	2.24	Europe & Central Asia (all income levels)	1	#C49A00
#FB61D7	43.9785609756098	6.999	Sub-Saharan Africa (all income levels)	1	#FB61D7
#00B6EB	69.7707317073171	3.654	North America	1	#00B6EB
#53B400	67.811	2.881	Latin America & Caribbean (all income levels)	1	#53B400
#C49A00	58.8901463414634	6.707	Europe & Central Asia (all income levels)	1	#C49A00
#53B400	54.0289268292683	7.224	Latin America & Caribbean (all income levels)	1	#53B400
#53B400	58.5186829268293	6.616	Latin America & Caribbean (all income levels)	1	#53B400
#53B400	63.7302195121951	5.547	Latin America & Caribbean (all income levels)	1	#53B400
#F8766D	44.1620975609756	7.085	East Asia & Pacific (all income levels)	1	#F8766D
#F8766D	46.4874878048781	7.197	East Asia & Pacific (all income levels)	1	#F8766D
#F8766D	49.969512195122	7.362	East Asia & Pacific (all income levels)	1	#F8766D
#00C094	37.7865609756098	7.292	Middle East & North Africa (all income levels)	1	#00C094
#FB61D7	49.0362926829268	6.446	Sub-Saharan Africa (all income levels)	1	#FB61D7
#FB61D7	45.1098048780488	7.018	Sub-Saharan Africa (all income levels)	1	#FB61D7
#FB61D7	51.5424634146342	7.158	Sub-Saharan Africa (all income levels)	1	#FB61D7
#00C094	52.6601463414634	6.91	Middle East & North Africa (all income levels)	2	#00C094
#A58AFF	31.4752926829268	7.7	South Asia	2	#A58AFF
#C49A00	63.2734634146342	5.891	Europe & Central Asia (all income levels)	2	#C49A00
#C49A00	66.2754634146342	4.512	Europe & Central Asia (all income levels)	2	#C49A00
#FB61D7	33.3862195121951	7.354	Sub-Saharan Africa (all income levels)	2	#FB61D7
#53B400	65.2966341463415	3.1	Latin America & Caribbean (all income levels)	2	#53B400
#C49A00	69.5773170731707	2.799	Europe & Central Asia (all income levels)	2	#C49A00
#F8766D	70.9731707317073	3.54	East Asia & Pacific (all income levels)	2	#F8766D
#53B400	65.9880243902439	4.655	Latin America & Caribbean (all income levels)	2	#53B400
#C49A00	61.2391707317073	5.596	Europe & Central Asia (all income levels)	2	#C49A00
#C49A00	60.8818536585366	3.954	Europe & Central Asia (all income levels)	2	#C49A00
#53B400	65.0817804878049	4.313	Latin America & Caribbean (all income levels)	2	#53B400
#A58AFF	48.2351219512195	6.758	South Asia	2	#A58AFF
#C49A00	70.5209756097561	2.644	Europe & Central Asia (all income levels)	2	#C49A00
#FB61D7	36.3746097560976	6.316	Sub-Saharan Africa (all income levels)	2	#FB61D7
#C49A00	70.1956097560976	2.29	Europe & Central Asia (all income levels)	2	#C49A00
#00C094	53.2025853658537	7.132	Middle East & North Africa (all income levels)	2	#00C094
#FB61D7	41.5484634146341	6.801	Sub-Saharan Africa (all income levels)	2	#FB61D7
#FB61D7	35.8840487804878	6.339	Sub-Saharan Africa (all income levels)	2	#FB61D7
#F8766D	62.8772682926829	6.487	East Asia & Pacific (all income levels)	2	#F8766D
#53B400	42.9612926829268	6.672	Latin America & Caribbean (all income levels)	2	#53B400
#53B400	54.9587317073171	6.19	Latin America & Caribbean (all income levels)	2	#53B400
#53B400	63.5934878048781	4.496	Latin America & Caribbean (all income levels)	2	#53B400
#A58AFF	37.314487804878	6.67	South Asia	2	#A58AFF
#FB61D7	50.8976341463415	6.632	Sub-Saharan Africa (all income levels)	2	#FB61D7
#C49A00	68.5559268292683	2.59	Europe & Central Asia (all income levels)	2	#C49A00
#53B400	61.3918048780488	6.48	Latin America & Caribbean (all income levels)	2	#53B400
#00B6EB	71.3460975609756	3.753	North America	2	#00B6EB
#FB61D7	41.2335365853659	6.015	Sub-Saharan Africa (all income levels)	2	#FB61D7
#FB61D7	36.8957073170732	5.867	Sub-Saharan Africa (all income levels)	2	#FB61D7
#FB61D7	49.229512195122	5.922	Sub-Saharan Africa (all income levels)	2	#FB61D7
#C49A00	71.6448780487805	2.484	Europe & Central Asia (all income levels)	2	#C49A00
#FB61D7	40.5932926829268	7.427	Sub-Saharan Africa (all income levels)	2	#FB61D7
#53B400	57.4063414634146	5.543	Latin America & Caribbean (all income levels)	2	#53B400
#FB61D7	41.9653414634146	5.819	Sub-Saharan Africa (all income levels)	2	#FB61D7
#F8766D	43.7722926829268	5.523	East Asia & Pacific (all income levels)	2	#F8766D
#53B400	57.2438780487805	6.8	Latin America & Caribbean (all income levels)	2	#53B400
#53B400	62.1742926829268	7.295	Latin America & Caribbean (all income levels)	2	#53B400
#53B400	64.2764390243903	4.36	Latin America & Caribbean (all income levels)	2	#53B400
#FB61D7	48.9037804878049	6.922	Sub-Saharan Africa (all income levels)	2	#FB61D7
#C49A00	69.9255365853659	3.471	Europe & Central Asia (all income levels)	2	#C49A00
#C49A00	70.5126829268293	2.11	Europe & Central Asia (all income levels)	2	#C49A00
#C49A00	69.8263902439025	2.45	Europe & Central Asia (all income levels)	2	#C49A00
#00C094	39.0096829268293	7.814	Middle East & North Africa (all income levels)	2	#00C094
#C49A00	72.4382926829268	2.547	Europe & Central Asia (all income levels)	2	#C49A00
#53B400	52.5177317073171	7.488	Latin America & Caribbean (all income levels)	2	#53B400
#00C094	47.5183658536585	7.348	Middle East & North Africa (all income levels)	2	#00C094
#53B400	53.7563658536585	6.715	Latin America & Caribbean (all income levels)	2	#53B400
#C49A00	68.8391951219512	1.97	Europe & Central Asia (all income levels)	2	#C49A00
#00C094	46.3473658536585	6.623	Middle East & North Africa (all income levels)	2	#00C094
#FB61D7	39.5283658536585	6.87	Sub-Saharan Africa (all income levels)	2	#FB61D7
#C49A00	69.4804878048781	2.765	Europe & Central Asia (all income levels)	2	#C49A00
#FB61D7	39.0686341463415	6.881	Sub-Saharan Africa (all income levels)	2	#FB61D7
#C49A00	68.8441463414634	2.689	Europe & Central Asia (all income levels)	2	#C49A00
#F8766D	56.3856341463415	6.281	East Asia & Pacific (all income levels)	2	#F8766D
#F8766D	57.9855853658537	6.917	East Asia & Pacific (all income levels)	2	#F8766D
#C49A00	70.1170731707317	2.87	Europe & Central Asia (all income levels)	2	#C49A00
#FB61D7	39.9256341463415	4.155	Sub-Saharan Africa (all income levels)	2	#FB61D7
#C49A00	70.8780487804878	2.784	Europe & Central Asia (all income levels)	2	#C49A00
#53B400	63.2096341463415	6.627	Latin America & Caribbean (all income levels)	2	#53B400
#C49A00	63.8277073170732	2.965	Europe & Central Asia (all income levels)	2	#C49A00
#FB61D7	46.3184390243902	6.789	Sub-Saharan Africa (all income levels)	2	#FB61D7
#FB61D7	33.7785609756098	5.621	Sub-Saharan Africa (all income levels)	2	#FB61D7
#FB61D7	32.4533170731707	6.429	Sub-Saharan Africa (all income levels)	2	#FB61D7
#FB61D7	37.0324878048781	5.515	Sub-Saharan Africa (all income levels)	2	#FB61D7
#C49A00	69.050756097561	2.189	Europe & Central Asia (all income levels)	2	#C49A00
#53B400	46.2756585365854	6.512	Latin America & Caribbean (all income levels)	2	#53B400
#F8766D	61.7252926829268	6.048	East Asia & Pacific (all income levels)	2	#F8766D
#FB61D7	34.7786341463415	5.771	Sub-Saharan Africa (all income levels)	2	#FB61D7
#53B400	53.1506585365854	6.373	Latin America & Caribbean (all income levels)	2	#53B400
#F8766D	67.5793658536585	5.213	East Asia & Pacific (all income levels)	2	#F8766D
#53B400	46.9036341463415	7.448	Latin America & Caribbean (all income levels)	2	#53B400
#C49A00	66.4139512195122	2.302	Europe & Central Asia (all income levels)	2	#C49A00
#53B400	42.6555609756098	6.318	Latin America & Caribbean (all income levels)	2	#53B400
#C49A00	68.9360975609756	1.941	Europe & Central Asia (all income levels)	2	#C49A00
#F8766D	45.8273658536585	5.656	East Asia & Pacific (all income levels)	2	#F8766D
#C49A00	69.9041219512195	3.791	Europe & Central Asia (all income levels)	2	#C49A00
#00C094	72.0065853658537	3.858	Middle East & North Africa (all income levels)	2	#00C094
#A58AFF	43.0957073170732	5.856	South Asia	2	#A58AFF
#00C094	49.9329268292683	6.364	Middle East & North Africa (all income levels)	2	#00C094
#00C094	45.3408048780488	6.942	Middle East & North Africa (all income levels)	2	#00C094
#C49A00	73.5034146341464	3.884	Europe & Central Asia (all income levels)	2	#C49A00
#C49A00	69.760243902439	2.407	Europe & Central Asia (all income levels)	2	#C49A00
#C49A00	70.7344146341463	2.481	Europe & Central Asia (all income levels)	2	#C49A00
#53B400	64.7592195121951	5.529	Latin America & Caribbean (all income levels)	2	#53B400
#00C094	54.5577804878049	7.802	Middle East & North Africa (all income levels)	2	#00C094
#F8766D	68.31	2.05	East Asia & Pacific (all income levels)	2	#F8766D
#FB61D7	47.013	7.998	Sub-Saharan Africa (all income levels)	2	#FB61D7
#C49A00	56.5483414634146	5.255	Europe & Central Asia (all income levels)	2	#C49A00
#F8766D	42.8949024390244	6.304	East Asia & Pacific (all income levels)	2	#F8766D
#FB61D7	43.8381463414634	6.849	Sub-Saharan Africa (all income levels)	2	#FB61D7
#F8766D	55.7175853658537	3.592	East Asia & Pacific (all income levels)	2	#F8766D
#F8766D	53.7346829268293	5.989	East Asia & Pacific (all income levels)	2	#F8766D
#00C094	62.0518292682927	7.279	Middle East & North Africa (all income levels)	2	#00C094
#C49A00	58.7155609756098	4.514	Europe & Central Asia (all income levels)	2	#C49A00
#F8766D	44.1842926829268	5.964	East Asia & Pacific (all income levels)	2	#F8766D
#00C094	61.4943658536585	5.719	Middle East & North Africa (all income levels)	2	#00C094
#53B400	58.179512195122	6.931	Latin America & Caribbean (all income levels)	2	#53B400
#A58AFF	58.2009756097561	5.421	South Asia	2	#A58AFF
#FB61D7	38.0174634146342	6.429	Sub-Saharan Africa (all income levels)	2	#FB61D7
#FB61D7	46.9849756097561	5.829	Sub-Saharan Africa (all income levels)	2	#FB61D7
#C49A00	70.1026829268293	2.53	Europe & Central Asia (all income levels)	2	#C49A00
#C49A00	70.0324390243903	1.94	Europe & Central Asia (all income levels)	2	#C49A00
#00C094	47.1752195121951	7.103	Middle East & North Africa (all income levels)	2	#00C094
#00C094	47.1090975609756	7.165	Middle East & North Africa (all income levels)	2	#00C094
#C49A00	62.1663414634146	3.259	Europe & Central Asia (all income levels)	2	#C49A00
#C49A00	62.8882682926829	2.6	Europe & Central Asia (all income levels)	2	#C49A00
#FB61D7	40.2799756097561	7.3	Sub-Saharan Africa (all income levels)	2	#FB61D7
#C49A00	61.3476341463415	3.989	Europe & Central Asia (all income levels)	2	#C49A00
#FB61D7	30.4661463414634	6.725	Sub-Saharan Africa (all income levels)	2	#FB61D7
#F8766D	43.3217317073171	6.071	East Asia & Pacific (all income levels)	2	#F8766D
#F8766D	49.6091463414634	7.168	East Asia & Pacific (all income levels)	2	#F8766D
#F8766D	65.5554390243903	4.763	East Asia & Pacific (all income levels)	2	#F8766D
#FB61D7	42.6059024390244	6.787	Sub-Saharan Africa (all income levels)	2	#FB61D7
#00C094	67.9027073170732	3.274	Middle East & North Africa (all income levels)	2	#00C094
#FB61D7	59.7629268292683	6.178	Sub-Saharan Africa (all income levels)	2	#FB61D7
#A58AFF	37.9720731707317	7.075	South Asia	2	#A58AFF
#FB61D7	37.9981463414634	6.943	Sub-Saharan Africa (all income levels)	2	#FB61D7
#53B400	57.6296829268293	6.776	Latin America & Caribbean (all income levels)	2	#53B400
#F8766D	59.916756097561	6.28	East Asia & Pacific (all income levels)	2	#F8766D
#FB61D7	35.466756097561	6.6	Sub-Saharan Africa (all income levels)	2	#FB61D7
#FB61D7	47.4991951219512	6.167	Sub-Saharan Africa (all income levels)	2	#FB61D7
#F8766D	59.0390243902439	6.144	East Asia & Pacific (all income levels)	2	#F8766D
#FB61D7	37.9237073170732	7.073	Sub-Saharan Africa (all income levels)	2	#FB61D7
#FB61D7	38.8726097560976	6.351	Sub-Saharan Africa (all income levels)	2	#FB61D7
#53B400	47.5733658536585	7.257	Latin America & Caribbean (all income levels)	2	#53B400
#C49A00	73.6526829268293	3.217	Europe & Central Asia (all income levels)	2	#C49A00
#C49A00	73.5504878048781	2.913	Europe & Central Asia (all income levels)	2	#C49A00
#A58AFF	38.8414634146341	6.103	South Asia	2	#A58AFF
#F8766D	70.9853658536586	4.099	East Asia & Pacific (all income levels)	2	#F8766D
#00C094	42.9303414634146	7.248	Middle East & North Africa (all income levels)	2	#00C094
#53B400	61.2834878048781	5.944	Latin America & Caribbean (all income levels)	2	#53B400
#53B400	48.186756097561	6.872	Latin America & Caribbean (all income levels)	2	#53B400
#F8766D	56.7528780487805	6.524	East Asia & Pacific (all income levels)	2	#F8766D
#F8766D	39.059512195122	6.278	East Asia & Pacific (all income levels)	2	#F8766D
#F8766D	58.1193658536585	7.087	East Asia & Pacific (all income levels)	2	#F8766D
#A58AFF	47.3273658536585	6.6	South Asia	2	#A58AFF
#C49A00	67.7780487804878	2.83	Europe & Central Asia (all income levels)	2	#C49A00
#53B400	69.1459512195122	4.547	Latin America & Caribbean (all income levels)	2	#53B400
#C49A00	63.4655609756098	3.183	Europe & Central Asia (all income levels)	2	#C49A00
#53B400	63.8663414634146	6.489	Latin America & Caribbean (all income levels)	2	#53B400
#00C094	60.4215365853659	6.973	Middle East & North Africa (all income levels)	2	#00C094
#C49A00	66.2206341463415	2.173	Europe & Central Asia (all income levels)	2	#C49A00
#C49A00	67.8127073170732	2.45	Europe & Central Asia (all income levels)	2	#C49A00
#FB61D7	42.5193658536585	8.161	Sub-Saharan Africa (all income levels)	2	#FB61D7
#00C094	45.4835365853659	7.23	Middle East & North Africa (all income levels)	2	#00C094
#F8766D	49.8817073170732	6.385	East Asia & Pacific (all income levels)	2	#F8766D
